fish_id,site_id,year,day,month,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,white_eye,Grazed_gill_plate,Lironca,comments,sum_all_lice,Prevalence,Motile Lep,Motile Caligus,chal,attached
1,1,2018,26,4,Buckle Bay,1,chum,44,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,2,3
2,1,2018,26,4,Buckle Bay,2,chum,46,7,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,0,0,2,2
3,1,2018,26,4,Buckle Bay,3,chum,49,6,,2,2,,,,,,,,,,,,,,,1,1,,,1,,,,,,,4,1,0,0,4,4
4,1,2018,26,4,Buckle Bay,4,chum,48,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,3
5,1,2018,26,4,Buckle Bay,5,chum,50,10,,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,2,2
6,1,2018,26,4,Buckle Bay,6,chum,53,8,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,0,0,1,2
7,1,2018,26,4,Buckle Bay,7,chum,50,8,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,2,2
8,1,2018,26,4,Buckle Bay,8,chum,50,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
9,1,2018,26,4,Buckle Bay,9,chum,47,7,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,0,0,2,2
10,1,2018,26,4,Buckle Bay,10,chum,42,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,GG,3,1,0,0,2,3
11,1,2018,26,4,Buckle Bay,11,chum,60,11,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,0,1,2,2
12,1,2018,26,4,Buckle Bay,12,chum,42,5,,2,6,,,,,,,,,,,,,4,,,,,,1,,,,,,GG,8,1,0,0,8,8
13,1,2018,26,4,Buckle Bay,13,chum,43,7,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,3
14,1,2018,26,4,Buckle Bay,14,chum,46,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
15,1,2018,26,4,Buckle Bay,15,chum,52,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
16,1,2018,26,4,Buckle Bay,16,chum,49,8,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1
17,1,2018,26,4,Buckle Bay,17,chum,49,7,,7,6,,,,,,,,,,,,,9,,,,,,1,,,,,,,13,1,0,0,13,13
18,1,2018,26,4,Buckle Bay,18,chum,50,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
19,1,2018,26,4,Buckle Bay,19,chum,42,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
20,1,2018,26,4,Buckle Bay,20,chum,52,9,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,3,1,1,0,1,2
21,1,2018,26,4,Buckle Bay,21,chum,46,6,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,"FL, CF",1,1,0,0,1,1
22,1,2018,26,4,Buckle Bay,22,chum,66,10,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,1,0,1,1
23,1,2018,26,4,Buckle Bay,23,chum,51,8,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,0,0,1,1
24,1,2018,26,4,Buckle Bay,24,chum,48,7,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,1,0,0,2,4
25,1,2018,26,4,Buckle Bay,25,chum,47,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
26,1,2018,26,4,Buckle Bay,26,chum,47,7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,0,0,0,1
27,1,2018,26,4,Buckle Bay,27,chum,46,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,2
28,1,2018,26,4,Buckle Bay,28,chum,48,8,2,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,Bird,3,1,0,0,1,3
29,1,2018,26,4,Buckle Bay,29,chum,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
30,1,2018,26,4,Buckle Bay,30,chum,43,6,,11,,,,,,,,,,,,,,1,,,,,,,,,,,,,11,1,0,0,11,11
31,1,2018,26,4,Buckle Bay,31,chum,53,9,,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,0,0,4,4
32,1,2018,26,4,Buckle Bay,32,chum,46,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,0,0,0
33,1,2018,26,4,Buckle Bay,33,chum,46,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,1
34,1,2018,26,4,Buckle Bay,34,chum,46,7,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,Hem eye,1,1,0,1,0,0
35,1,2018,26,4,Buckle Bay,35,chum,52,9,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
36,1,2018,26,4,Buckle Bay,36,chum,47,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,2
37,1,2018,26,4,Buckle Bay,37,chum,45,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
38,1,2018,26,4,Buckle Bay,38,chum,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
39,1,2018,26,4,Buckle Bay,39,chum,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
40,1,2018,26,4,Buckle Bay,40,chum,45,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,3
41,1,2018,26,4,Buckle Bay,41,chum,38,6,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0,1,2
42,1,2018,26,4,Buckle Bay,42,chum,38,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
43,1,2018,26,4,Buckle Bay,43,chum,40,8,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,1,0,0,0,3
44,1,2018,26,4,Buckle Bay,44,chum,52,6,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,0,0,1,1
45,1,2018,26,4,Buckle Bay,45,chum,44,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,GG,2,1,0,0,2,2
46,1,2018,26,4,Buckle Bay,46,chum,44,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,2,3
47,1,2018,26,4,Buckle Bay,47,chum,54,7,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,0,0,2,2
48,2,2018,16,5,Buckle Bay,1,chum,60,11,,3,,1,,,,,,,,,,,,1,,,1,,1,1,,,,,,CS,4,1,1,0,3,3
49,2,2018,16,5,Buckle Bay,2,chum,45,7,,2,,,,,,,,,,,,,,,,1,1,,,1,,,,,,LJ,2,1,0,0,2,2
50,2,2018,16,5,Buckle Bay,3,chum,72,10,,1,3,,,1,,,,,,,,,,2,,1,,,,1,,1,,,,,5,1,1,0,4,4
51,2,2018,16,5,Buckle Bay,4,chum,54,8,5,4,1,3,1,,1,,,,,,,,,,,1,1,,1,,,1,,,,,15,1,5,0,5,10
52,2,2018,16,5,Buckle Bay,5,chum,50,9,2,5,1,,,,,,,,,,,,,2,,,,,,,,,,,,,8,1,0,0,6,8
53,2,2018,16,5,Buckle Bay,6,chum,56,9,11,2,3,,,,,,,,,,,,,1,,,,,,,,1,,,,,16,1,0,0,5,16
54,2,2018,16,5,Buckle Bay,7,chum,60,8,5,19,3,1,1,,,,,,,,,,,3,,1,,,1,,,1,,,,,29,1,2,0,22,27
55,2,2018,16,5,Buckle Bay,8,chum,58,10,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,1,0,0,0,2
56,2,2018,16,5,Buckle Bay,9,chum,62,10,,1,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,2,1,0,0,2,2
57,2,2018,16,5,Buckle Bay,10,chum,60,10,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,0,0,1,1
58,2,2018,16,5,Buckle Bay,11,chum,52,8,3,,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,4,1,0,0,1,4
59,2,2018,16,5,Buckle Bay,12,chum,56,10,4,7,3,2,1,,,,,,,,,,,,,1,,,,1,,1,,,,,17,1,3,0,10,14
60,2,2018,16,5,Buckle Bay,13,chum,66,10,1,3,1,1,1,,,,,,,,,,,2,,,,,,,,1,,,,,7,1,2,0,4,5
61,2,2018,16,5,Buckle Bay,14,chum,62,11,15,11,5,4,8,1,,,,,,,,,,1,,1,1,,,1,,1,,,,CS,44,1,13,0,16,31
62,2,2018,16,5,Buckle Bay,15,chum,60,10,20,6,5,6,,1,,,,,,,,,,6,,1,,,1,1,,,,,,gill parasite ,38,1,7,0,11,31
63,2,2018,16,5,Buckle Bay,16,chum,54,10,20,3,2,1,,1,,,,,,,,,,2,,,1,,1,1,,1,,,,CS,27,1,2,0,5,25
64,3,2018,16,5,Elbow Bank,1,coho,140,32,1,7,2,3,1,,,,,,,,,,,1,,,,,,,,,,,,,14,1,4,0,9,10
65,3,2018,16,5,Elbow Bank,2,coho,108,19,5,,,,1,,,,,1,,,,,,,,,,,,1,,1,,,,,7,1,1,1,0,5
66,3,2018,16,5,Elbow Bank,3,chum,58,11,4,5,,1,1,,,,,,,,,,,4,,,,,1,,,1,,,,,11,1,2,0,5,9
67,3,2018,16,5,Elbow Bank,4,chum,68,10,1,3,1,1,,,,,,,,,,,,3,,,,,1,1,,1,,,,,6,1,1,0,4,5
68,3,2018,16,5,Elbow Bank,5,chum,68,12,1,1,4,2,,,,,,,,,,,,2,1,,1,,1,,,1,,,,"Bird, CS",8,1,2,0,5,6
69,3,2018,16,5,Elbow Bank,6,chum,74,12,1,2,3,2,1,,,,,,,,,,,6,,1,,,,1,,1,,,,,9,1,3,0,5,6
70,3,2018,16,5,Elbow Bank,7,chum,72,11,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,2,1,0,0,2,2
71,3,2018,16,5,Elbow Bank,8,chum,62,11,2,3,3,1,,,,,,,,,,,,4,,,,,,,,1,,,,,9,1,1,0,6,8
72,3,2018,16,5,Elbow Bank,9,chum,62,9,1,3,4,1,1,,,,,,,,,,,4,,,,,,1,,1,,,,,10,1,2,0,7,8
73,3,2018,16,5,Elbow Bank,10,chum,68,12,2,3,,,,,,,,1,,,,,,3,,,,,,1,,1,,,,,6,1,0,1,3,5
74,3,2018,16,5,Elbow Bank,11,chum,64,12,,1,,,1,,,,,,,,,,,2,,,1,,,1,,1,,,,CS,2,1,1,0,1,1
75,3,2018,16,5,Elbow Bank,12,chum,68,13,6,7,6,3,2,,,,,,,,,,,4,,1,,,1,,,1,,,,,24,1,5,0,13,19
76,3,2018,16,5,Elbow Bank,13,chum,61,11,1,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,5,1,0,0,4,5
77,3,2018,16,5,Elbow Bank,14,chum,64,12,7,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,15,1,3,0,5,12
78,3,2018,16,5,Elbow Bank,15,chum,68,12,7,7,,,,,,,,1,,,,,,5,,,1,,1,1,,1,,,,CSx2,15,1,0,1,7,14
79,3,2018,16,5,Elbow Bank,16,chum,58,10,1,5,1,1,,,,,,1,,,,,,3,,,,,,,,,,,,,9,1,1,1,6,7
80,3,2018,16,5,Elbow Bank,17,chum,64,9,2,1,2,2,,,,,,,,,,,,2,,,,,,,,,,,,,7,1,2,0,3,5
81,3,2018,16,5,Elbow Bank,18,chum,67,10,2,3,3,3,3,,,,,,,,,,,7,,1,,,1,1,,1,,,,,14,1,6,0,6,8
82,3,2018,16,5,Elbow Bank,19,chum,68,11,1,1,,1,1,,,,,,,,,,,2,,,,,,1,,,,,,,4,1,2,0,1,2
83,3,2018,16,5,Elbow Bank,20,chum,58,8,6,10,,1,,,1,,,,,,,,,3,,1,,,,,,1,,,,,18,1,2,0,10,16
84,3,2018,16,5,Elbow Bank,21,chum,58,10,1,3,3,3,1,,,,,,,,,,,4,,,1,,,,,,,,,CS,11,1,4,0,6,7
85,3,2018,16,5,Elbow Bank,22,chum,67,11,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,0,4,4
86,3,2018,16,5,Elbow Bank,23,chum,71,12,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,0,2
