"","groupedsites","motsum","attachedsum","copsum","chalsum","sum_all_lice","SE.motile","SE.attached","SE.cops","SE.chals","SE.all"
"1","Bedwell Estuary North",0,0.0476190476190476,0.0476190476190476,0,0.0476190476190476,0,0.0270458016308126,0.0270458016308126,0,0.0270458016308126
"2","Cypre River",0.05,2.1,1.35277777777778,0.747222222222222,1.74722222222222,0.0133692644919151,0.186772419970543,0.136674627296693,0.0920886808936514,0.167961479714151
"3","North Meares",0.159235668789809,2.8343949044586,1.10509554140127,1.72929936305732,2.99363057324841,0.0306018093058973,0.225899515054847,0.0974602624075977,0.169629732078324,0.241035259217276
"4","Ritchie Bay",0.53968253968254,3.71031746031746,1.19047619047619,2.51984126984127,4.25,0.0781799839312121,0.329705480339559,0.124654530689393,0.246036718411289,0.384418958787864
"5","Tsapee Narrows",0.25,0,0,0,0.25,0.25,0,0,0,0.25
