"","groupedsites","total.fish","infected.fish","prevalence"
"1","Bedwell Sound North",63,3,0.0476190476190476
"2","Cypre River",358,191,0.533519553072626
"3","North Meares",314,239,0.761146496815287
"4","Ritchie Bay",252,228,0.904761904761905
"5","Tsapee Narrows",4,1,0.25
