"","date","mean.total.lice","mean.motile","mean.attached","mean.copepodid","mean.chalimus","meanfl","meanflcoho","meanflchum","meanflchinook","meanflsockeye"
"1",2020-04-10,0.00302724520686176,0,0.00302724520686176,0.00302724520686176,0,66.968253968254,91.2903225806452,43.3666666666667,44,NA
"2",2020-04-18,0.159434914228052,0.00403632694248234,0.15539858728557,0.0544904137235116,0.100908173562059,48.2641509433962,NA,48.5866666666667,42.8888888888889,NA
"3",2020-04-24,0.134207870837538,0.0211907164480323,0.113017154389506,0.053481331987891,0.0595358224016145,48.7203389830508,78.5,48.3796296296296,45.875,NA
"4",2020-04-30,0.188698284561049,0.00201816347124117,0.186680121089808,0.0524722502522704,0.134207870837538,50.4433962264151,80,50.3663366336634,45,NA
"5",2020-05-08,0.32795156407669,0.053481331987891,0.274470232088799,0.0665993945509586,0.207870837537841,61.7643312101911,85.2,59.1060606060606,73.45,NA
"6",2020-05-15,0.436932391523713,0.0373360242179617,0.399596367305752,0.246215943491423,0.153380423814329,60.609375,88,62.7211538461538,49.5,NA
"7",2020-05-23,0.755802219979818,0.0201816347124117,0.735620585267407,0.382441977800202,0.353178607467205,62.9911504424779,81.6666666666667,66.0704225352113,53.8055555555556,NA
"8",2020-05-30,0.289606458123108,0.024217961654894,0.265388496468214,0.0847628657921292,0.180625630676085,62.5945945945946,NA,66.7,57.7647058823529,NA
"9",2020-06-05,0.280524722502523,0.029263370332997,0.251261352169526,0.0746720484359233,0.176589303733602,63.6666666666667,NA,79.2857142857143,60.25,NA
"10",2020-06-12,0.0918264379414733,0.012108980827447,0.0797174571140262,0.012108980827447,0.0676084762865792,NA,NA,80,NA,NA
"11",2020-06-19,0,0,0.0484359233097881,0.0322906155398587,0.0161453077699294,67.2972972972973,NA,NA,67.2972972972973,NA
"12",2020-06-26,0,0.00100908173562059,0.0151362260343088,0.00908173562058527,0.00605449041372351,71.0769230769231,NA,NA,71.0769230769231,NA
"13",2020-07-05,0,0.00201816347124117,0.0797174571140262,0.0756811301715439,0.00403632694248234,74.9230769230769,NA,NA,74.9230769230769,NA
