"","date","mean.total.lice","mean.motile","mean.attached","mean.copepodid","mean.chalimus","meanfl","meanflcoho","meanflchum","meanflchinook","meanflsockeye"
"1",2020-04-10,0.00302114803625378,0,0.00302114803625378,0.00302114803625378,0,66.968253968254,91.2903225806452,43.3666666666667,44,NA
"2",2020-04-18,0.159113796576032,0.0040281973816717,0.155085599194361,0.054380664652568,0.100704934541793,48.2641509433962,NA,48.5866666666667,42.8888888888889,NA
"3",2020-04-24,0.133937562940584,0.0211480362537764,0.112789526686808,0.05337361530715,0.0594159113796576,48.7,78.5,48.3636363636364,45.875,NA
"4",2020-04-30,0.188318227593152,0.00201409869083585,0.186304128902316,0.0523665659617321,0.133937562940584,50.4433962264151,80,50.3663366336634,45,NA
"5",2020-05-08,0.327291037260826,0.05337361530715,0.273917421953676,0.0664652567975831,0.207452165156093,61.7643312101911,85.2,59.1060606060606,73.45,NA
"6",2020-05-15,0.436052366565962,0.0372608257804632,0.398791540785498,0.245720040281974,0.153071500503525,60.609375,88,62.7211538461538,49.5,NA
"7",2020-05-23,0.754279959718026,0.0201409869083585,0.734138972809668,0.381671701913394,0.352467270896274,62.9911504424779,81.6666666666667,66.0704225352113,53.8055555555556,NA
"8",2020-05-30,0.289023162134945,0.0241691842900302,0.264853977844914,0.0845921450151057,0.180261832829809,62.5945945945946,NA,66.7,57.7647058823529,NA
"9",2020-06-05,0.279959718026183,0.0292044310171198,0.250755287009063,0.0745216515609265,0.176233635448137,63.6666666666667,NA,79.2857142857143,60.25,NA
"10",2020-06-12,0.0916414904330312,0.0120845921450151,0.0795568982880161,0.0120845921450151,0.067472306143001,NA,NA,80,NA,NA
"11",2020-06-19,0,0,0.0483383685800604,0.0322255790533736,0.0161127895266868,67.2972972972973,NA,NA,67.2972972972973,NA
"12",2020-06-26,0,0.00100704934541793,0.0151057401812689,0.00906344410876133,0.00604229607250755,71.0769230769231,NA,NA,71.0769230769231,NA
"13",2020-07-05,0,0.00201409869083585,0.0795568982880161,0.0755287009063444,0.0040281973816717,74.9230769230769,NA,NA,74.9230769230769,NA
